,session,participant,time,ECG,EDA,Respiration
0,3,4,82760.49997859549,0,0,339
1,3,4,82760.50999311243,0,0,333
2,3,4,82760.52000762937,0,0,328
3,3,4,82760.5300221463,0,0,323
4,3,4,82760.54003666324,0,0,319
5,3,4,82760.55005118018,0,0,314
6,3,4,82760.56006569712,0,0,310
7,3,4,82760.57008021406,0,0,305
8,3,4,82760.580094731,0,0,300
9,3,4,82760.59010924793,0,0,295
10,3,4,82760.60012376487,0,0,289
11,3,4,82760.61013828182,0,0,284
12,3,4,82760.62015279876,0,0,282
13,3,4,82760.6301673157,0,0,279
14,3,4,82760.64018183264,0,0,278
15,3,4,82760.65019634957,0,0,276
16,3,4,82760.66021086651,0,0,275
17,3,4,82760.67022538345,0,0,275
18,3,4,82760.6802399004,0,0,274
19,3,4,82760.69025441734,0,0,273
20,3,4,82760.70026893428,0,0,273
21,3,4,82760.7102834512,0,0,273
22,3,4,82760.72029796815,0,0,273
23,3,4,82760.73031248509,0,0,274
24,3,4,82760.74032700203,0,0,275
25,3,4,82760.75034151897,0,0,279
26,3,4,82760.76035603591,0,0,282
27,3,4,82760.77037055284,0,0,285
28,3,4,82760.78038506978,0,0,290
29,3,4,82760.79039958672,0,0,295
30,3,4,82760.80041410367,0,0,301
31,3,4,82760.8104286206,0,0,306
32,3,4,82760.82044313753,0,0,311
33,3,4,82760.83045765448,0,0,315
34,3,4,82760.84047217142,0,0,317
35,3,4,82760.85048668836,0,0,317
36,3,4,82760.8605012053,0,0,319
37,3,4,82760.87051572224,0,0,319
38,3,4,82760.88053023917,0,0,320
39,3,4,82760.89054475611,0,0,320
40,3,4,82760.90055927305,0,0,320
41,3,4,82760.91057379,0,0,320
42,3,4,82760.92058830694,0,0,319
43,3,4,82760.93060282388,0,0,318
44,3,4,82760.9406173408,0,0,317
45,3,4,82760.95063185775,0,0,316
46,3,4,82760.96064637469,0,0,316
47,3,4,82760.97066089163,0,0,314
48,3,4,82760.98067540857,0,0,311
49,3,4,82760.99068992551,0,0,309
50,3,4,82761.00070444244,0,0,305
51,3,4,82761.01071895938,0,0,300
52,3,4,82761.02073347633,0,0,293
53,3,4,82761.03074799327,0,0,285
54,3,4,82761.04076251021,0,0,279
55,3,4,82761.05077702715,0,0,270
56,3,4,82761.06079154408,0,0,262
57,3,4,82761.07080606102,0,0,254
58,3,4,82761.08082057796,0,0,247
59,3,4,82761.0908350949,0,0,239
60,3,4,82761.10084961184,0,0,232
61,3,4,82761.11086412877,0,0,226
62,3,4,82761.12087864571,0,0,220
63,3,4,82761.13089316266,0,0,215
64,3,4,82761.1409076796,0,0,210
65,3,4,82761.15092219654,0,0,205
66,3,4,82761.16093671348,0,0,200
67,3,4,82761.17095123041,0,0,197
68,3,4,82761.18096574735,0,0,194
69,3,4,82761.19098026429,0,0,192
70,3,4,82761.20099478123,0,0,190
71,3,4,82761.21100929817,0,0,189
72,3,4,82761.22102381512,0,0,187
73,3,4,82761.23103833204,0,0,185
74,3,4,82761.24105284899,0,0,184
75,3,4,82761.25106736593,0,0,183
76,3,4,82761.26108188287,0,0,182
77,3,4,82761.27109639981,0,0,180
78,3,4,82761.28111091675,0,0,179
79,3,4,82761.29112543368,0,0,178
80,3,4,82761.30113995062,0,0,178
81,3,4,82761.31115446756,0,0,178
82,3,4,82761.3211689845,0,0,177
83,3,4,82761.33118350145,0,0,176
84,3,4,82761.34119801839,0,0,175
85,3,4,82761.35121253532,0,0,174
86,3,4,82761.36122705226,0,0,172
87,3,4,82761.3712415692,0,0,171
88,3,4,82761.38125608614,0,0,168
89,3,4,82761.39127060308,0,0,166
90,3,4,82761.40128512001,0,0,164
91,3,4,82761.41129963695,0,0,160
92,3,4,82761.4213141539,0,0,158
93,3,4,82761.43132867083,0,0,155
94,3,4,82761.44134318778,0,0,152
95,3,4,82761.45135770472,0,0,149
96,3,4,82761.46137222165,0,0,146
97,3,4,82761.47138673859,0,0,143
98,3,4,82761.48140125553,0,0,140
99,3,4,82761.49141577247,0,0,137
100,3,4,82761.50143028941,0,0,134
101,3,4,82761.51144480635,0,0,131
102,3,4,82761.52145932328,0,0,129
103,3,4,82761.53147384022,0,0,126
104,3,4,82761.54148835716,0,0,124
105,3,4,82761.5515028741,0,0,122
106,3,4,82761.56151739105,0,0,121
107,3,4,82761.57153190799,0,0,120
108,3,4,82761.58154642492,0,0,120
109,3,4,82761.59156094186,0,0,120
110,3,4,82761.6015754588,0,0,120
111,3,4,82761.61158997574,0,0,121
112,3,4,82761.62160449268,0,0,123
113,3,4,82761.63161900963,0,0,124
114,3,4,82761.64163352655,0,0,126
115,3,4,82761.6516480435,0,0,129
116,3,4,82761.66166256044,0,0,131
117,3,4,82761.67167707738,0,0,132
118,3,4,82761.68169159432,0,0,134
119,3,4,82761.69170611125,0,0,134
120,3,4,82761.70172062819,0,0,135
121,3,4,82761.71173514513,0,0,135
122,3,4,82761.72174966207,0,0,134
123,3,4,82761.73176417901,0,0,133
124,3,4,82761.74177869596,0,0,131
125,3,4,82761.75179321288,0,0,130
126,3,4,82761.76180772982,0,0,130
127,3,4,82761.77182224677,0,0,130
128,3,4,82761.78183676371,0,0,132
129,3,4,82761.79185128065,0,0,134
130,3,4,82761.80186579759,0,0,135
131,3,4,82761.81188031452,0,0,138
132,3,4,82761.82189483146,0,0,141
133,3,4,82761.8319093484,0,0,145
134,3,4,82761.84192386534,0,0,148
135,3,4,82761.85193838229,0,0,152
136,3,4,82761.86195289923,0,0,156
137,3,4,82761.87196741615,0,0,161
138,3,4,82761.8819819331,0,0,166
139,3,4,82761.89199645004,0,0,170
140,3,4,82761.90201096698,0,0,175
